City,LAT,LON,Area,Type,Name,Artists,Address,City2,State,Zip,Year,Participant,desc1,desc2,url,partner,funder,LAT,LON
Louisville,38.25779605,-85.82341942,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ King Elementary,,4325 Vermont Avenue,Louisville,Kentucky,40211,2015,99,placeholder 165,placeholder 159,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.25779605,-85.82341942
Louisville,38.25779605,-85.82341942,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ King Elementary,,4325 Vermont Avenue,Louisville,Kentucky,40211,2016,99,placeholder 166,placeholder 160,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.25779605,-85.82341942
Louisville,38.18244065,-85.86184513,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Wellington Elementary,,4800 Kaufman Ln,Louisville,Kentucky,40216,2016,99,placeholder 167,placeholder 161,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.18244065,-85.86184513
Louisville,38.18244065,-85.86184513,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Wellington Elementary,,4800 Kaufman Ln,Louisville,Kentucky,40216,2015,99,placeholder 168,placeholder 162,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.18244065,-85.86184513
Louisville,38.1769922,-85.66596178,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Price Elementary,,5001 Garden Green Way,Louisville,Kentucky,40218,2015,99,placeholder 169,placeholder 163,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.1769922,-85.66596178
Louisville,38.2574128,-85.758985,Community Outreach,Art Buffet,I Am Ali,Jackie Pallesen; Ehren Reed; Amy Chase,501 W Main St,Louisville,Kentucky,40202,2017,99,placeholder 170,placeholder 164,http://www.louisvillevisualart.org/art-buffet-1,Community Partners,Metro EAF,38.2574128,-85.758985
Louisville,38.1417714,-85.6665255,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Hartstern Elementary,,5200 Morningside Way,Louisville,Kentucky,40219,2016,99,placeholder 171,placeholder 165,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.1417714,-85.6665255
Louisville,38.1417714,-85.6665255,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Hartstern Elementary,,5200 Morningside Way,Louisville,Kentucky,40219,2015,99,placeholder 172,placeholder 166,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.1417714,-85.6665255
Louisville,38.1375118,-85.85504734,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Eisenhower Elementary,,5300 Jessamine Ln,Louisville,Kentucky,40258,2015,99,placeholder 173,placeholder 167,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.1375118,-85.85504734
Louisville,38.2335495,-85.7455472,Community Outreach,School's Out = Art's In,School's Out = Art's In @ Shelby Park CC- Community Banner,,600 E Oak St,Louisville,Kentucky,40203,2015,99,placeholder 174,placeholder 168,http://fundforthearts.org/schoolsoutartsin/,Community Partners,Fund for the Arts,38.2335495,-85.7455472
Louisville,38.2335495,-85.7455472,Community Outreach,School's Out = Art's In,School's Out = Art's In @ Shelby Park CC- Community Banner,,600 E Oak St,Louisville,Kentucky,40203,2017,99,placeholder 175,placeholder 169,http://fundforthearts.org/schoolsoutartsin/,Community Partners,Fund for the Arts,38.2335495,-85.7455472
Louisville,38.25403825,-85.81309366,Community Outreach,School's Out = Art's In,School's Out = Art's In @ Shawnee CC- Outdoor Beautification,,607 S 37th St,Louisville,Kentucky,40211,2016,99,placeholder 176,placeholder 170,http://fundforthearts.org/schoolsoutartsin/,Community Partners,Fund for the Arts,38.25403825,-85.81309366
Louisville,38.25403825,-85.81309366,Community Outreach,School's Out = Art's In,School's Out = Art's In @ Shawnee CC - Creature Feature,,607 S 37th St,Louisville,Kentucky,40211,2017,99,placeholder 177,placeholder 171,http://fundforthearts.org/schoolsoutartsin/,Community Partners,Fund for the Arts,38.25403825,-85.81309366
Louisville,38.25403825,-85.81309366,Community Outreach,Studio 2000,Studio 2000 @ Shawnee CC w/ Metro Parks,Ehren Reed; JD Shaw; Sunny Ra,607 S 37th St,Louisville,Kentucky,40211,2016,99,placeholder 178,placeholder 172,http://www.louisvillevisualart.org/studio-2000,Community Partners,Metro Parks,38.25403825,-85.81309366
Louisville,38.25403825,-85.81309366,Community Outreach,Studio 2000,Studio 2000 @ Shawnee CC w/ Metro Parks,Ehren Reed; JD Shaw; Simon,607 S 37th St,Louisville,Kentucky,40211,2017,99,placeholder 179,placeholder 173,http://www.louisvillevisualart.org/studio-2000,Community Partners,Metro Parks,38.25403825,-85.81309366
